"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.9",,"HSP90AA1 (FI) RANBP2","true",,"HSP90AA1 (FI) RANBP2"
"FI","catalyze","->","1.0",,"EXOSC2 (FI) NOP58","true",,"EXOSC2 (FI) NOP58"
"FI","activated by","<-","1.0",,"FIP1L1 (FI) TPR","true",,"FIP1L1 (FI) TPR"
"FI","catalyze","->","1.0",,"EXOSC2 (FI) NOP56","true",,"EXOSC2 (FI) NOP56"
"FI","predicted","-","0.92",,"RFC2 (FI) XRCC5","true",,"RFC2 (FI) XRCC5"
"FI","activate","->","1.0",,"BOP1 (FI) WDR75","true",,"BOP1 (FI) WDR75"
"FI","predicted","-","0.91",,"CDC5L (FI) TOP2A","true",,"CDC5L (FI) TOP2A"
"FI","complex","-","1.0",,"DDX21 (FI) EBNA1BP2","true",,"DDX21 (FI) EBNA1BP2"
"FI","predicted","-","0.96",,"DHX9 (FI) SSRP1","true",,"DHX9 (FI) SSRP1"
"FI","complex; input","-","1.0",,"NUP35 (FI) NUP62","true",,"NUP35 (FI) NUP62"
"FI","activated by; complex; input","<-","1.0",,"PWP2 (FI) WDR75","true",,"PWP2 (FI) WDR75"
"FI","predicted","-","0.94",,"HNRNPU (FI) SSRP1","true",,"HNRNPU (FI) SSRP1"
"FI","complex; input","-","1.0",,"EFTUD2 (FI) SMU1","true",,"EFTUD2 (FI) SMU1"
"FI","reaction","-","1.0",,"RPS5 (FI) WDR43","true",,"RPS5 (FI) WDR43"
"FI","predicted","-","0.96",,"HSPA9 (FI) SLC25A5","true",,"HSPA9 (FI) SLC25A5"
"FI","complex; input","-","1.0",,"TBCD (FI) TUBA1C","true",,"TBCD (FI) TUBA1C"
"FI","catalyze; complex; input","->","1.0",,"NUP62 (FI) RANBP2","true",,"NUP62 (FI) RANBP2"
"FI","catalyzed by; complex; input","<-","1.0",,"HSPA8 (FI) PRPF8","true",,"HSPA8 (FI) PRPF8"
"FI","complex; input","-","1.0",,"TBCD (FI) TUBA1B","true",,"TBCD (FI) TUBA1B"
"FI","predicted","-","0.95",,"PRPF8 (FI) SART3","true",,"PRPF8 (FI) SART3"
"FI","catalyzed by; complex; input","<-","1.0",,"HSPA8 (FI) PRPF6","true",,"HSPA8 (FI) PRPF6"
"FI","complex; input","-","1.0",,"KIF2A (FI) RANBP2","true",,"KIF2A (FI) RANBP2"
"FI","predicted","-","0.92",,"DDX10 (FI) DDX27","true",,"DDX10 (FI) DDX27"
"FI","predicted","-","0.93",,"EBNA1BP2 (FI) KRR1","true",,"EBNA1BP2 (FI) KRR1"
"FI","complex; input","-","1.0",,"MYBBP1A (FI) POLR1D","true",,"MYBBP1A (FI) POLR1D"
"FI","predicted","-","0.91",,"MCM2 (FI) RNASEH2A","true",,"MCM2 (FI) RNASEH2A"
"FI","activated by; complex; input","<-","1.0",,"RRP9 (FI) WDR43","true",,"RRP9 (FI) WDR43"
"FI","complex; input","-","1.0",,"MYBBP1A (FI) POLR1B","true",,"MYBBP1A (FI) POLR1B"
"FI","catalyzed by; input","<-","1.0",,"HSPA8 (FI) SMU1","true",,"HSPA8 (FI) SMU1"
"FI","catalyzed by","<-","1.0",,"HSPA9 (FI) PMPCB","true",,"HSPA9 (FI) PMPCB"
"FI","predicted","-","0.91",,"PNO1 (FI) RRP9","true",,"PNO1 (FI) RRP9"
