"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","complex","-","1.0",,"CEP290 (FI) PLK4","true",,"CEP290 (FI) PLK4"
"FI","predicted","-","0.91",,"AURKA (FI) SRPK1","true",,"AURKA (FI) SRPK1"
"FI","input","-","1.0",,"FNBP1L (FI) PIK3C2A","true",,"FNBP1L (FI) PIK3C2A"
"FI","predicted","-","0.9",,"CKAP2L (FI) HMMR","true",,"CKAP2L (FI) HMMR"
"FI","predicted","-","0.91",,"CEP290 (FI) SSX2IP","true",,"CEP290 (FI) SSX2IP"
"FI","predicted","-","0.92",,"CCNA2 (FI) DEPDC1","true",,"CCNA2 (FI) DEPDC1"
"FI","predicted","-","0.9",,"KIF5B (FI) LRPPRC","true",,"KIF5B (FI) LRPPRC"
"FI","complex","-","1.0",,"NOP58 (FI) WDR36","true",,"NOP58 (FI) WDR36"
"FI","predicted","-","0.91",,"ZNF700 (FI) ZNF823","true",,"ZNF700 (FI) ZNF823"
"FI","catalyze","->","1.0",,"BRIP1 (FI) TP53","true",,"BRIP1 (FI) TP53"
"FI","predicted","-","0.9",,"DTL (FI) TPX2","true",,"DTL (FI) TPX2"
"FI","predicted","-","0.92",,"BRIP1 (FI) E2F7","true",,"BRIP1 (FI) E2F7"
"FI","predicted","-","0.91",,"CHEK1 (FI) PLK4","true",,"CHEK1 (FI) PLK4"
"FI","expression regulated by","<-","1.0",,"SHH (FI) SUZ12","true",,"SHH (FI) SUZ12"
"FI","predicted","-","0.97",,"KIF20B (FI) MKI67","true",,"KIF20B (FI) MKI67"
"FI","reaction","-","1.0",,"PPARA (FI) PPARGC1B","true",,"PPARA (FI) PPARGC1B"
"FI","predicted","-","0.93",,"DDX21 (FI) LYAR","true",,"DDX21 (FI) LYAR"
"FI","predicted","-","0.9",,"ZNF431 (FI) ZNF440","true",,"ZNF431 (FI) ZNF440"
"FI","activate","->","1.0",,"CHEK1 (FI) FANCF","true",,"CHEK1 (FI) FANCF"
"FI","predicted","-","0.91",,"CDK1 (FI) NEIL3","true",,"CDK1 (FI) NEIL3"
"FI","predicted","-","0.95",,"CDC25C (FI) NCAPG","true",,"CDC25C (FI) NCAPG"
"FI","complex; input","-","1.0",,"MAD2L1 (FI) PDS5A","true",,"MAD2L1 (FI) PDS5A"
"FI","predicted","-","0.96",,"SKA3 (FI) UBE2C","true",,"SKA3 (FI) UBE2C"
"FI","predicted","-","0.92",,"PRKAA1 (FI) PRKAR2A","true",,"PRKAA1 (FI) PRKAR2A"
"FI","catalyze; complex; input","->","1.0",,"DDX46 (FI) PPIG","true",,"DDX46 (FI) PPIG"
"FI","complex; input","-","1.0",,"CEP63 (FI) HMMR","true",,"CEP63 (FI) HMMR"
"FI","predicted","-","0.97",,"BUB1B (FI) NCAPG2","true",,"BUB1B (FI) NCAPG2"
"FI","GErel: expression by","<-","1.0",,"KRT23 (FI) NCOA3","true",,"KRT23 (FI) NCOA3"
"FI","predicted","-","0.92",,"CCNA2 (FI) TOP2A","true",,"CCNA2 (FI) TOP2A"
"FI","predicted","-","0.91",,"ITCH (FI) UBE2C","true",,"ITCH (FI) UBE2C"
"FI","catalyzed by","<-","1.0",,"TP53 (FI) TPX2","true",,"TP53 (FI) TPX2"
"FI","catalyze","->","1.0",,"NSMCE4A (FI) SMC3","true",,"NSMCE4A (FI) SMC3"
"FI","complex","-","1.0",,"NSMCE4A (FI) SMC5","true",,"NSMCE4A (FI) SMC5"
"FI","predicted","-","0.91",,"CBX5 (FI) TRIM24","true",,"CBX5 (FI) TRIM24"
"FI","predicted","-","0.91",,"CDC25A (FI) HELLS","true",,"CDC25A (FI) HELLS"
"FI","complex","-","1.0",,"NSMCE4A (FI) SMC6","true",,"NSMCE4A (FI) SMC6"
"FI","predicted","-","0.95",,"CBX5 (FI) SCAI","true",,"CBX5 (FI) SCAI"
"FI","complex; input","-","1.0",,"CENPK (FI) SMC3","true",,"CENPK (FI) SMC3"
"FI","predicted","-","0.9",,"DTL (FI) SKP2","true",,"DTL (FI) SKP2"
"FI","complex","-","1.0",,"DDX52 (FI) WDR36","true",,"DDX52 (FI) WDR36"
"FI","predicted","-","0.91",,"CHEK2 (FI) RFC1","true",,"CHEK2 (FI) RFC1"
"FI","complex","-","1.0",,"NOP58 (FI) UTP14A","true",,"NOP58 (FI) UTP14A"
"FI","catalyzed by; complex; input","<-","1.0",,"CCAR1 (FI) RBM39","true",,"CCAR1 (FI) RBM39"
"FI","predicted","-","0.94",,"CHEK1 (FI) KIF11","true",,"CHEK1 (FI) KIF11"
"FI","predicted","-","0.89",,"BRCA1 (FI) DEPDC1","true",,"BRCA1 (FI) DEPDC1"
"FI","predicted","-","0.93",,"BUB1B (FI) CDC7","true",,"BUB1B (FI) CDC7"
"FI","activate","->","1.0",,"CHEK1 (FI) FANCA","true",,"CHEK1 (FI) FANCA"
"FI","predicted","-","0.91",,"KIF14 (FI) KIF2A","true",,"KIF14 (FI) KIF2A"
"FI","predicted","-","0.94",,"DEPDC1 (FI) TPX2","true",,"DEPDC1 (FI) TPX2"
"FI","predicted","-","0.93",,"STK38 (FI) STK38L","true",,"STK38 (FI) STK38L"
"FI","predicted","-","0.98",,"BUB1B (FI) SKA3","true",,"BUB1B (FI) SKA3"
