"EDGE_TYPE","FI Annotation","FI Direction","FI Score","interaction","name","selected","shared interaction","shared name"
"FI","predicted","-","0.91","","ZNF737 (FI) ZNF780B","true","","ZNF737 (FI) ZNF780B"
"FI","expression regulated by","<-","1.0","","ETV4 (FI) HNF4A","true","","ETV4 (FI) HNF4A"
"FI","expression regulated by","<-","1.0","","ETV4 (FI) HNF4G","true","","ETV4 (FI) HNF4G"
"FI","predicted","-","0.94","","SLC26A2 (FI) SLC26A3","true","","SLC26A2 (FI) SLC26A3"
"FI","catalyzed by","<-","1.0","","GARNL3 (FI) GNG4","true","","GARNL3 (FI) GNG4"
"FI","inhibited by","|-","1.0","","GUCY2C (FI) PDZD3","true","","GUCY2C (FI) PDZD3"
"FI","expression regulated by","<-","1.0","","ANKS4B (FI) HNF4A","true","","ANKS4B (FI) HNF4A"
"FI","expression regulated by","<-","1.0","","DDC (FI) POU5F1","true","","DDC (FI) POU5F1"
"FI","reaction","-","1.0","","CSE1L (FI) TP53","true","","CSE1L (FI) TP53"
"FI","activated by","<-","1.0","","SGK2 (FI) WNK4","true","","SGK2 (FI) WNK4"
"FI","predicted","-","0.9","","ZNF518A (FI) ZNF780B","true","","ZNF518A (FI) ZNF780B"
"FI","expression regulated by","<-","1.0","","ACSM3 (FI) HNF4A","true","","ACSM3 (FI) HNF4A"
"FI","activated by; inhibited by","-","1.0","","HMGA2 (FI) TP53","true","","HMGA2 (FI) TP53"
"FI","GErel: expression by","<-","1.0","","NKD1 (FI) TCF7","true","","NKD1 (FI) TCF7"
"FI","predicted","-","0.93","","ATAD5 (FI) MKI67","true","","ATAD5 (FI) MKI67"
"FI","expression regulated by","<-","1.0","","EPHX2 (FI) HNF4A","true","","EPHX2 (FI) HNF4A"
"FI","predicted","-","0.92","","NR1I2 (FI) NR5A2","true","","NR1I2 (FI) NR5A2"
"FI","catalyze","->","1.0","","GLCE (FI) GPC4","true","","GLCE (FI) GPC4"
"FI","predicted","-","0.99","","TOP1 (FI) TOP2A","true","","TOP1 (FI) TOP2A"
"FI","predicted","-","0.96","","ARFGEF1 (FI) ARFGEF2","true","","ARFGEF1 (FI) ARFGEF2"
"FI","complex; input","-","1.0","","IFT74 (FI) WDR35","true","","IFT74 (FI) WDR35"
"FI","activated by; inhibite","<-|","1.0","","POU5F1 (FI) TCF7","true","","POU5F1 (FI) TCF7"
"FI","expression regulates","->","1.0","","POU5F1 (FI) ZMYND8","true","","POU5F1 (FI) ZMYND8"
"FI","predicted","-","0.89","","ARHGAP11B (FI) ASPM","true","","ARHGAP11B (FI) ASPM"
"FI","complex; input","-","1.0","","AREG (FI) SEC16B","true","","AREG (FI) SEC16B"
"FI","complex; input","-","1.0","","AREG (FI) DNAJC6","true","","AREG (FI) DNAJC6"
"FI","PPrel: activation","->","1.0","","AREG (FI) FGFR3","true","","AREG (FI) FGFR3"
"FI","expression regulated by","<-","1.0","","AREG (FI) BRCA1","true","","AREG (FI) BRCA1"
"FI","complex; input","-","1.0","","AREG (FI) FNBP1L","true","","AREG (FI) FNBP1L"
"FI","predicted","-","0.91","","ARID3A (FI) NFIA","true","","ARID3A (FI) NFIA"
"FI","predicted","-","0.89","","ZFP62 (FI) ZNF780B","true","","ZFP62 (FI) ZNF780B"
"FI","predicted","-","0.89","","ZFP62 (FI) ZNF485","true","","ZFP62 (FI) ZNF485"
"FI","expression regulated by","<-","1.0","","NOS2 (FI) TP53","true","","NOS2 (FI) TP53"
"FI","complex","-","1.0","","RALGAPA2 (FI) RALGAPB","true","","RALGAPA2 (FI) RALGAPB"
"FI","predicted","-","0.91","","NFIA (FI) SATB2","true","","NFIA (FI) SATB2"
"FI","reaction","-","1.0","","IHH (FI) SHH","true","","IHH (FI) SHH"
"FI","GErel: expression by","<-","1.0","","ACSL5 (FI) PPARA","true","","ACSL5 (FI) PPARA"
"FI","complex; input","-","1.0","","MYB (FI) TP53","true","","MYB (FI) TP53"
"FI","input","-","1.0","","CDHR1 (FI) CDHR2","true","","CDHR1 (FI) CDHR2"
"FI","input","-","1.0","","CDH17 (FI) CDHR2","true","","CDH17 (FI) CDHR2"
"FI","input","-","1.0","","CDH17 (FI) CDHR1","true","","CDH17 (FI) CDHR1"
"FI","complex; input","-","1.0","","CCL20 (FI) GNG4","true","","CCL20 (FI) GNG4"
"FI","expression regulates","->","1.0","","HNF4G (FI) ID1","true","","HNF4G (FI) ID1"
"FI","expression regulates","->","1.0","","HNF4G (FI) SLC40A1","true","","HNF4G (FI) SLC40A1"
"FI","predicted","-","0.91","","HNF4G (FI) NR5A2","true","","HNF4G (FI) NR5A2"
"FI","expression regulates","->","1.0","","HNF4G (FI) MYB","true","","HNF4G (FI) MYB"
"FI","predicted","-","0.97","","ASPM (FI) AURKA","true","","ASPM (FI) AURKA"
"FI","predicted","-","0.9","","ASPM (FI) BRCA2","true","","ASPM (FI) BRCA2"
"FI","predicted","-","0.96","","ASPM (FI) KIF14","true","","ASPM (FI) KIF14"
"FI","predicted","-","0.94","","ASPM (FI) SPAG5","true","","ASPM (FI) SPAG5"
"FI","expression regulated by","<-","1.0","","CASP1 (FI) TP53","true","","CASP1 (FI) TP53"
"FI","complex; input","-","1.0","","BRCA2 (FI) DNA2","true","","BRCA2 (FI) DNA2"
"FI","activated by","<-","1.0","","BRCA2 (FI) MND1","true","","BRCA2 (FI) MND1"
"FI","catalyzed by","<-","1.0","","BRCA2 (FI) GEN1","true","","BRCA2 (FI) GEN1"
"FI","PPrel: binding/association; complex; input","-","1.0","","BRCA2 (FI) BRIP1","true","","BRCA2 (FI) BRIP1"
"FI","inhibite","-|","1.0","","BRCA2 (FI) POLQ","true","","BRCA2 (FI) POLQ"
"FI","predicted","-","0.9","","PRKDC (FI) RIF1","true","","PRKDC (FI) RIF1"
"FI","predicted","-","0.94","","PRKDC (FI) TOP1","true","","PRKDC (FI) TOP1"
"FI","PPrel: activation, phosphorylation; complex; input","->","1.0","","PRKDC (FI) TP53","true","","PRKDC (FI) TP53"
"FI","predicted","-","0.91","","PRKDC (FI) TOP2A","true","","PRKDC (FI) TOP2A"
"FI","complex; input","-","1.0","","CD2AP (FI) PIK3CB","true","","CD2AP (FI) PIK3CB"
"FI","predicted","-","0.92","","ZNF443 (FI) ZNF823","true","","ZNF443 (FI) ZNF823"
"FI","predicted","-","0.96","","PDS5A (FI) RIF1","true","","PDS5A (FI) RIF1"
"FI","complex; input","-","1.0","","CENPK (FI) DSN1","true","","CENPK (FI) DSN1"
