shared name
CNTN5 (FI) GPLD1
CEACAM16 (FI) CNTN5
AGBL5 (FI) POLR3A
GTPBP1 (FI) HDGF
CCDC91 (FI) ECT2
SIGLEC16 (FI) TYROBP
ASL (FI) TAL1
FUCA1 (FI) FUCA2
HELB (FI) RPA1
ARSD (FI) SUMF2
ARSD (FI) SUMF1
CLEC4D (FI) CLEC4E
CLEC4D (FI) FCER1G
HOPX (FI) TLX3
HOPX (FI) HOXB9
DNLZ (FI) HSPA9
FRZB (FI) FZD8
KIRREL3 (FI) NPHS1
FGD5 (FI) RAC1
KCMF1 (FI) UBR4
PDSS1 (FI) PDSS2
FAM83B (FI) STAT3
MPPE1 (FI) PIGB
AZU1 (FI) CTSG
CLN5 (FI) CLN6
ALPL (FI) GPLD1
NELL2 (FI) ROBO3
CLN6 (FI) ERLIN2
ALG6 (FI) ALG8
ALG6 (FI) ALG9
IGHMBP2 (FI) PSIP1
APOL4 (FI) HNF4A
KCNA10 (FI) KCNAB1
KCNA10 (FI) KCNAB2
KCNA10 (FI) KCNAB3
KCNA10 (FI) KCNC4
KCNA10 (FI) KCNC1
KCNA10 (FI) KCNC3
KCNA10 (FI) KCNB1
KCNA10 (FI) KCNB2
KCNA10 (FI) KCNA6
KCNA10 (FI) KCNG1
KCNA10 (FI) KCNG2
KCNA10 (FI) KCNG3
KCNA10 (FI) KCNG4
KCNA10 (FI) KCNF1
KCNA10 (FI) KCNS1
KCNA10 (FI) KCNS2
KCNA10 (FI) KCNS3
KCNA10 (FI) KCNV1
KCNA10 (FI) KCNV2
MYNN (FI) ZNF287
LYRM7 (FI) UQCRFS1
ART1 (FI) ART3
PLSCR1 (FI) STAT1
PLSCR1 (FI) STAT2
PLSCR1 (FI) STAT3
MEP1A (FI) MEP1B
CLEC5A (FI) TYROBP
MMP28 (FI) SP1
GYPC (FI) SP1
HR (FI) TBL1XR1
TMEM88 (FI) ZBTB33
BTN3A1 (FI) PPL
BTN3A1 (FI) BTN3A2
BTN3A1 (FI) BTN3A3
CALHM2 (FI) CALHM3
COX17 (FI) SCO1
COX17 (FI) SCO2
ADAM11 (FI) ADAM23
ADAM11 (FI) ADAM33
ADAM11 (FI) LGI1
ADAM11 (FI) LGI4
GPR135 (FI) MLNR
SLC39A10 (FI) SLC39A5
SLC39A10 (FI) SLC39A7
SLC39A10 (FI) SLC39A9
PPP1R7 (FI) TP53
TOX (FI) TOX2
TOX (FI) TOX4
ANGPTL6 (FI) TCF12
NLRP6 (FI) PYCARD
SLC25A10 (FI) SLC25A11
CLDN12 (FI) CLDN17
CLDN12 (FI) CLDN20
ATCAY (FI) EP300
GPR50 (FI) MTNR1B
GPR50 (FI) MAS1
GPR50 (FI) NPBWR1
ATAD2B (FI) SPI1
AGTPBP1 (FI) STAT3
GMCL1 (FI) TMPO
PLEKHG2 (FI) RHOA
PLEKHG2 (FI) RHOB
PLEKHG2 (FI) RHOC
PLEKHG2 (FI) RAC1
CCPG1 (FI) RB1CC1
PGLS (FI) TALDO1
ARRDC3 (FI) PDCD6IP
ALPK2 (FI) CAMKK1
CRB3 (FI) UBE3A
CRB3 (FI) PARD6B
CRB3 (FI) PARD6G
CRB3 (FI) PARD6A
PPA1 (FI) PPA2
RNF182 (FI) UBA1
DHX29 (FI) DHX37
LUC7L (FI) LUC7L2
LUC7L (FI) LUC7L3
RP2 (FI) UNC119B
CD300LF (FI) CD84
EMCN (FI) MYCT1
FKBP3 (FI) HDAC1
FKBP3 (FI) HDAC2
PIGB (FI) PIGH
PIGB (FI) PIGV
PIGB (FI) PIGM
PIGB (FI) PIGP
PIGB (FI) PIGZ
KLK4 (FI) PLAUR
KLK4 (FI) MMP20
CCDC18 (FI) SASS6
AASDHPPT (FI) FASN
CLEC2B (FI) KLRF1
IDO1 (FI) IFNG
TSC22D2 (FI) TSC22D4
TSC22D2 (FI) TSC22D3
RAB40B (FI) RAP2A
RAB40B (FI) RAB40C
CYS1 (FI) UNC119B
SLC3A1 (FI) SLC7A9
ARHGAP28 (FI) RHOA
CABLES2 (FI) CDK5
CABLES2 (FI) TP53
FILIP1 (FI) RHOD
CWH43 (FI) PIGU
BOLA1 (FI) GLRX3
TSN (FI) TSNAX
CCDC88C (FI) DVL2
CCDC88C (FI) DVL3
TXNDC17 (FI) TXNRD1
RPUSD1 (FI) RPUSD2
SERTAD1 (FI) ZNF410
SERTAD1 (FI) SRF
TRIM39 (FI) UBE2D4
TINAG (FI) TINAGL1
