TF_PROT	BS_RNA	Type	22909821
AATF	BAX	Repression	17157788
AATF	CDKN1A	Unknown	23146908
AATF	KLK3	Unknown	20549547
AATF	MYC	Activation	17157788
AATF	TP53	Unknown	11753601
ABL1	BAX	Activation	11753601
ABL1	BCL2	Repression	15509806
ABL1	BCL6	Repression	15509806
ABL1	CCND2	Activation	11753601;9916993
ABL1	CDKN1A	Activation	23418320
ABL1	CSF1	Activation	18619508
ABL1	CSF1	Unknown	15509806
ABL1	FOXO3	Activation	15145216
ABL1	JUN	Activation	19357699
ABL1	JUN	Repression	15145216
ABL1	PIM1	Activation	11753601
ABL1	TP53	Activation	20676368
AES	EPHA3	Unknown	20676368
AES	LEF1	Activation	23546594
AES	RND3	Activation	20460431
AHR	ABCG2	Unknown	18848529
AHR	AHRR	Activation	19255421;8631989
AHR	ARNT	Unknown	18259752
AHR	BRCA1	Unknown	19154183
AHR	CA9	Repression	24380854
AHR	CCND1	Unknown	22596188
AHR	CCNG2	Activation	12213390;9865727
AHR	CYP1A1	Activation	17012224
AHR	CYP1A1	Repression	10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR	CYP1A1	Unknown	21357676
AHR	CYP1A2	Unknown	16115918;19287966
AHR	CYP1B1	Activation	12376470;19376845;21742528;24299737
AHR	CYP1B1	Unknown	19928584
AHR	CYP2B6	Unknown	10478842
AHR	FOS	Unknown	22981205
AHR	IL13	Unknown	23349129
AHR	IL1B	Unknown	20511231
AHR	IL6	Activation	18483242;23349129
AHR	IL6	Unknown	21736709
AHR	MFSD2A	Unknown	23994556
AHR	MT2A	Unknown	11114727;16091746
AHR	MYC	Unknown	12417031
AHR	PCNA	Activation	12417031
AHR	RFC3	Activation	18172616
AHR	UGT1A1	Activation	9466822
AHR	UGT1A6	Unknown	11469723
AIP	AHR	Activation	21984905
AIP	GREB1	Repression	21984905
AIP	NFKB2	Repression	21984905
AIP	RSF1	Repression	21984905
AIP	TFF1	Repression	17687331
AIRE	CHRNA1	Unknown	18273862
ANKRD1	NPPA	Repression	21453247
APBB1	GMPS	Repression	15888491
APC	AKT1	Repression	12724325
APC	AMHR2	Repression	11751382
APC	BIRC5	Unknown	21858148
APC	DLG1	Unknown	12538344
APC	DNMT1	Repression	12010799
APC	F8	Unknown	12387883
APC	KLF4	Unknown	16510874
APC	MYC	Repression	11935128
APC	NOS2	Activation	12112318
APC	ODC1	Repression	10772828;12566320
APC	PTGS2	Repression	11396184
APC	PTGS2	Unknown	18487207
APC	SGK1	Repression	17045925
APEX1	CCL2	Activation	10666449
APEX1	CD19	Activation	22652909
APEX1	CYP11B2	Repression	17045925
APEX1	NFKB1	Activation	14633989
APEX1	PTH	Repression	17045925
APEX1	RELA	Activation	14630715
APEX1	SLC5A5	Activation	15623502
AR	ACTA1	Activation	22971343
AR	AKR1C3	Repression	11278645
AR	AKT1	Activation	20589722
AR	AKT1	Repression	17526768
AR	ALDH1A3	Unknown	20711410
AR	ARG1	Activation	20711410
AR	ARG2	Activation	22771493
